ord_id,ord_date,cstm_name,cstm_contact,cstm_address,cstm_city,cstm_postal,cstm_country,empl_first_name,empl_last_name,shippers_name,shippers_phone,ord_details_id,ord_details_quantity,prod_id,prod_unit,prod_price,prod_id,splr_id,splr_name,splr_contact,splr_address,splr_id,splr_city,splr_postal_code,splr_country,splr_phone,splr_id,ctgr_id,ctgr_name,ctgr_desc
10316,1996-09-27,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",184,70,62,"48 pies",49.3,62,29,"Forets derables","Chantal Goulet","148 rue Chasseur",29,Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",29,3,Confections,"Desserts, candies, and sweet breads"
10325,1996-10-09,"Koniglich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",202,6,6,"12 - 8 oz jars",25,6,3,"Grandma Kellys Homestead","Regina Murphy","707 Oxford Rd.",3,"Ann Arbor",48104,USA,"(313) 555-5735",3,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10325,1996-10-09,"Koniglich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",203,12,13,"2 kg box",6,13,6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",6,Osaka,545,Japan,"(06) 431-7877",6,8,Seafood,"Seaweed and fish"
10325,1996-10-09,"Koniglich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",204,9,14,"40 - 100 g pkgs.",23.25,14,6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",6,Osaka,545,Japan,"(06) 431-7877",6,7,Produce,"Dried fruit and bean curd"
10325,1996-10-09,"Koniglich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",205,4,31,"12 - 100 g pkgs",12.5,31,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10325,1996-10-09,"Koniglich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",206,40,72,"24 - 200 g pkgs.",34.8,72,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10340,1996-10-29,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Nancy,Davolio,"Federal Shipping","(503) 555-9931",247,20,18,"16 kg pkg.",62.5,18,7,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",7,Melbourne,3058,Australia,"(03) 444-2343",7,8,Seafood,"Seaweed and fish"
10340,1996-10-29,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Nancy,Davolio,"Federal Shipping","(503) 555-9931",248,12,41,"12 - 12 oz cans",9.65,41,19,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",19,Boston,02134,USA,"(617) 555-3267",19,8,Seafood,"Seaweed and fish"
10340,1996-10-29,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Nancy,Davolio,"Federal Shipping","(503) 555-9931",249,40,43,"16 - 500 g tins",46,43,20,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",20,Singapore,0512,Singapore,555-8787,20,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10357,1996-11-19,LILA-Supermercado,"Carlos Gonzalez","Carrera 52 con Ave. Bolivar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,Nancy,Davolio,"Federal Shipping","(503) 555-9931",290,30,10,"12 - 200 ml jars",31,10,4,"Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",4,Tokyo,100,Japan,"(03) 3555-5011",4,8,Seafood,"Seaweed and fish"
10357,1996-11-19,LILA-Supermercado,"Carlos Gonzalez","Carrera 52 con Ave. Bolivar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,Nancy,Davolio,"Federal Shipping","(503) 555-9931",291,16,26,"100 - 250 g bags",31.23,26,11,"Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",11,Berlin,10785,Germany,"(010) 9984510",11,3,Confections,"Desserts, candies, and sweet breads"
10357,1996-11-19,LILA-Supermercado,"Carlos Gonzalez","Carrera 52 con Ave. Bolivar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,Nancy,Davolio,"Federal Shipping","(503) 555-9931",292,8,60,"15 - 300 g rounds",34,60,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10374,1996-12-05,Wolski,Zbyszek,"ul. Filtrowa 68",Walla,01-012,Poland,Nancy,Davolio,"Federal Shipping","(503) 555-9931",337,30,31,"12 - 100 g pkgs",12.5,31,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10374,1996-12-05,Wolski,Zbyszek,"ul. Filtrowa 68",Walla,01-012,Poland,Nancy,Davolio,"Federal Shipping","(503) 555-9931",338,15,58,"24 pieces",13.25,58,27,"Escargots Nouveaux","Marie Delamare","22, rue H. Voiron",27,Montceau,71300,France,85.57.00.07,27,8,Seafood,"Seaweed and fish"
10377,1996-12-09,"Seven Seas Imports","Hari Kumar","90 Wadhurst Rd.",London,"OX15 4NB",UK,Nancy,Davolio,"Federal Shipping","(503) 555-9931",342,20,28,"25 - 825 g cans",45.6,28,12,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",12,Frankfurt,60439,Germany,"(069) 992755",12,7,Produce,"Dried fruit and bean curd"
10377,1996-12-09,"Seven Seas Imports","Hari Kumar","90 Wadhurst Rd.",London,"OX15 4NB",UK,Nancy,Davolio,"Federal Shipping","(503) 555-9931",343,20,39,"750 cc per bottle",18,39,18,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",18,Paris,75004,France,"(1) 03.83.00.68",18,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10393,1996-12-25,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",385,25,2,"24 - 12 oz bottles",19,2,1,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",1,Londona,"EC1 4SD",UK,"(171) 555-2222",1,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10393,1996-12-25,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",386,42,14,"40 - 100 g pkgs.",23.25,14,6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",6,Osaka,545,Japan,"(06) 431-7877",6,7,Produce,"Dried fruit and bean curd"
10393,1996-12-25,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",387,7,25,"20 - 450 g glasses",14,25,11,"Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",11,Berlin,10785,Germany,"(010) 9984510",11,3,Confections,"Desserts, candies, and sweet breads"
10393,1996-12-25,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",388,70,26,"100 - 250 g bags",31.23,26,11,"Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",11,Berlin,10785,Germany,"(010) 9984510",11,3,Confections,"Desserts, candies, and sweet breads"
10393,1996-12-25,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",389,32,31,"12 - 100 g pkgs",12.5,31,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10394,1996-12-25,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.",Elgin,97827,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",390,10,13,"2 kg box",6,13,6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",6,Osaka,545,Japan,"(06) 431-7877",6,8,Seafood,"Seaweed and fish"
10394,1996-12-25,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.",Elgin,97827,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",391,10,62,"48 pies",49.3,62,29,"Forets derables","Chantal Goulet","148 rue Chasseur",29,Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",29,3,Confections,"Desserts, candies, and sweet breads"
10396,1996-12-27,Frankenversand,"Peter Franken","Berliner Platz 43",Munchen,80805,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",395,40,23,"12 - 250 g pkgs.",9,23,9,"PB Knackebrod AB","Lars Peterson","Kaloadagatan 13",9,Goteborg,"S-345 67",Sweden,"031-987 65 43",9,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10396,1996-12-27,Frankenversand,"Peter Franken","Berliner Platz 43",Munchen,80805,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",396,60,71,"10 - 500 g pkgs.",21.5,71,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
10396,1996-12-27,Frankenversand,"Peter Franken","Berliner Platz 43",Munchen,80805,Germany,Nancy,Davolio,"Federal Shipping","(503) 555-9931",397,21,72,"24 - 200 g pkgs.",34.8,72,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10400,1997-01-01,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK,Nancy,Davolio,"Federal Shipping","(503) 555-9931",406,21,29,"50 bags x 30 sausgs.",123.79,29,12,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",12,Frankfurt,60439,Germany,"(069) 992755",12,6,Meat/Poultry,"Prepared meats"
10400,1997-01-01,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK,Nancy,Davolio,"Federal Shipping","(503) 555-9931",407,35,35,"24 - 12 oz bottles",18,35,16,"Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210",16,Bend,97101,USA,"(503) 555-9931",16,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10400,1997-01-01,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK,Nancy,Davolio,"Federal Shipping","(503) 555-9931",408,30,49,"24 - 50 g pkgs.",20,49,23,"Karkki Oy","Anne Heikkonen","Valtakatu 12",23,Lappeenranta,53120,Finland,"(953) 10956",23,3,Confections,"Desserts, candies, and sweet breads"
10285,1996-08-20,QUICK-Stop,"Horst Kloss","Taucherstrasse 10",Cunewalde,01307,Germany,Nancy,Davolio,"United Package","(503) 555-3199",100,45,1,"10 boxes x 20 bags",18,1,1,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",1,Londona,"EC1 4SD",UK,"(171) 555-2222",1,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10285,1996-08-20,QUICK-Stop,"Horst Kloss","Taucherstrasse 10",Cunewalde,01307,Germany,Nancy,Davolio,"United Package","(503) 555-3199",101,40,40,"24 - 4 oz tins",18.4,40,19,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",19,Boston,02134,USA,"(617) 555-3267",19,8,Seafood,"Seaweed and fish"
10285,1996-08-20,QUICK-Stop,"Horst Kloss","Taucherstrasse 10",Cunewalde,01307,Germany,Nancy,Davolio,"United Package","(503) 555-3199",102,36,53,"48 pieces",32.8,53,24,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",24,Sydney,2042,Australia,"(02) 555-5914",24,6,Meat/Poultry,"Prepared meats"
10292,1996-08-28,"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,Nancy,Davolio,"United Package","(503) 555-3199",119,20,20,"30 gift boxes",81,20,8,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",8,Manchester,"M14 GSD",UK,"(161) 555-4448",8,3,Confections,"Desserts, candies, and sweet breads"
10304,1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"United Package","(503) 555-3199",151,30,49,"24 - 50 g pkgs.",20,49,23,"Karkki Oy","Anne Heikkonen","Valtakatu 12",23,Lappeenranta,53120,Finland,"(953) 10956",23,3,Confections,"Desserts, candies, and sweet breads"
10304,1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"United Package","(503) 555-3199",152,10,59,"5 kg pkg.",55,59,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10304,1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"United Package","(503) 555-3199",153,2,71,"10 - 500 g pkgs.",21.5,71,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
10314,1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,Nancy,Davolio,"United Package","(503) 555-3199",178,40,32,"24 - 200 g pkgs.",32,32,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10314,1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,Nancy,Davolio,"United Package","(503) 555-3199",179,30,58,"24 pieces",13.25,58,27,"Escargots Nouveaux","Marie Delamare","22, rue H. Voiron",27,Montceau,71300,France,85.57.00.07,27,8,Seafood,"Seaweed and fish"
10314,1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,Nancy,Davolio,"United Package","(503) 555-3199",180,25,62,"48 pies",49.3,62,29,"Forets derables","Chantal Goulet","148 rue Chasseur",29,Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",29,3,Confections,"Desserts, candies, and sweet breads"
10361,1996-11-22,QUICK-Stop,"Horst Kloss","Taucherstrasse 10",Cunewalde,01307,Germany,Nancy,Davolio,"United Package","(503) 555-3199",304,54,39,"750 cc per bottle",18,39,18,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",18,Paris,75004,France,"(1) 03.83.00.68",18,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10361,1996-11-22,QUICK-Stop,"Horst Kloss","Taucherstrasse 10",Cunewalde,01307,Germany,Nancy,Davolio,"United Package","(503) 555-3199",305,55,60,"15 - 300 g rounds",34,60,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10376,1996-12-09,"Mere Paillarde","Jean Fresniere","43 rue St. Laurent",Montreal,"H1J 1C3",Canada,Nancy,Davolio,"United Package","(503) 555-3199",341,42,31,"12 - 100 g pkgs",12.5,31,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10385,1996-12-17,"Split Rail Beer & Ale","Art Braunschweiger","P.O. Box 555",Lander,82520,USA,Nancy,Davolio,"United Package","(503) 555-3199",363,10,7,"12 - 1 lb pkgs.",30,7,3,"Grandma Kellys Homestead","Regina Murphy","707 Oxford Rd.",3,"Ann Arbor",48104,USA,"(313) 555-5735",3,7,Produce,"Dried fruit and bean curd"
10385,1996-12-17,"Split Rail Beer & Ale","Art Braunschweiger","P.O. Box 555",Lander,82520,USA,Nancy,Davolio,"United Package","(503) 555-3199",364,20,60,"15 - 300 g rounds",34,60,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10385,1996-12-17,"Split Rail Beer & Ale","Art Braunschweiger","P.O. Box 555",Lander,82520,USA,Nancy,Davolio,"United Package","(503) 555-3199",365,8,68,"10 boxes x 8 pieces",12.5,68,8,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",8,Manchester,"M14 GSD",UK,"(161) 555-4448",8,3,Confections,"Desserts, candies, and sweet breads"
10387,1996-12-18,"Sante Gourmet","Jonas Bergulfsen","Erling Skakkes gate 78",Stavern,4110,Norway,Nancy,Davolio,"United Package","(503) 555-3199",368,15,24,"12 - 355 ml cans",4.5,24,10,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890",10,"Sao Paulo",5442,Brazil,"(11) 555 4640",10,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10387,1996-12-18,"Sante Gourmet","Jonas Bergulfsen","Erling Skakkes gate 78",Stavern,4110,Norway,Nancy,Davolio,"United Package","(503) 555-3199",369,6,28,"25 - 825 g cans",45.6,28,12,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",12,Frankfurt,60439,Germany,"(069) 992755",12,7,Produce,"Dried fruit and bean curd"
10387,1996-12-18,"Sante Gourmet","Jonas Bergulfsen","Erling Skakkes gate 78",Stavern,4110,Norway,Nancy,Davolio,"United Package","(503) 555-3199",370,12,59,"5 kg pkg.",55,59,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10387,1996-12-18,"Sante Gourmet","Jonas Bergulfsen","Erling Skakkes gate 78",Stavern,4110,Norway,Nancy,Davolio,"United Package","(503) 555-3199",371,15,71,"10 - 500 g pkgs.",21.5,71,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",30,50,2,"24 - 12 oz bottles",19,2,1,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",1,Londona,"EC1 4SD",UK,"(171) 555-2222",1,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",31,65,5,"36 boxes",21.35,5,2,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934",2,"New Orleans",70117,USA,"(100) 555-4822",2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",32,6,32,"24 - 200 g pkgs.",32,32,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",14,Ravenna,48100,Italy,"(0544) 60323",14,4,"Dairy Products",Cheeses
10270,1996-08-01,"Wartian Herkku","Pirkko Koskitalo","Torikatu 38",Oulu,90110,Finland,Nancy,Davolio,"Speedy Express","(503) 555-9831",60,30,36,"24 - 250 g jars",19,36,17,"Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",17,Stockholm,"S-123 45",Sweden,"08-123 45 67",17,8,Seafood,"Seaweed and fish"
10270,1996-08-01,"Wartian Herkku","Pirkko Koskitalo","Torikatu 38",Oulu,90110,Finland,Nancy,Davolio,"Speedy Express","(503) 555-9831",61,25,43,"16 - 500 g tins",46,43,20,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",20,Singapore,0512,Singapore,555-8787,20,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10275,1996-08-07,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Via Ludovico il Moro 22",Bergamo,24100,Italy,Nancy,Davolio,"Speedy Express","(503) 555-9831",73,12,24,"12 - 355 ml cans",4.5,24,10,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890",10,"Sao Paulo",5442,Brazil,"(11) 555 4640",10,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10275,1996-08-07,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Via Ludovico il Moro 22",Bergamo,24100,Italy,Nancy,Davolio,"Speedy Express","(503) 555-9831",74,6,59,"5 kg pkg.",55,59,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",28,Annecy,74000,France,38.76.98.06,28,4,"Dairy Products",Cheeses
10351,1996-11-11,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",275,20,38,"12 - 75 cl bottles",263.5,38,18,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",18,Paris,75004,France,"(1) 03.83.00.68",18,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10351,1996-11-11,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",276,13,41,"12 - 12 oz cans",9.65,41,19,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",19,Boston,02134,USA,"(617) 555-3267",19,8,Seafood,"Seaweed and fish"
10351,1996-11-11,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",277,77,44,"20 - 2 kg bags",19.45,44,20,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",20,Singapore,0512,Singapore,555-8787,20,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10351,1996-11-11,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,Nancy,Davolio,"Speedy Express","(503) 555-9831",278,10,65,"32 - 8 oz bottles",21.05,65,2,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934",2,"New Orleans",70117,USA,"(100) 555-4822",2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10364,1996-11-26,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK,Nancy,Davolio,"Speedy Express","(503) 555-9831",312,30,69,"10 kg pkg.",36,69,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
10364,1996-11-26,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK,Nancy,Davolio,"Speedy Express","(503) 555-9831",313,5,71,"10 - 500 g pkgs.",21.5,71,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
